campaign,NumVoicePrepaid,NumVoicePostpaid,VoiceOnNet,VoiceOffNet,VoiceInt,NumCalls,CallDuration,NumDataSPrepaid,NumDataPostpaid,DataCharTraf,DataCharNULL,NumDataSessions,SessionsLength,TotalFlux,BirthDate,Nationality,Occupation,EoPProvisionedBase,RGE30Subscriberbase,RGE90Subscriberbase,RGE1Subscriberbase,EoP_SubscribersApOG,InterconnectPayableRevenue,InterconnectReceivableRevenueRequest,DataRevenue,MMSRevenue,SMSRevenue,VASRevenue,VoiceRevenue,ForfeitedRevenue,RoamingInbound,RoamingOutound,NoOfEvents,OtherRevenue,AddOnSubscriptionRevenue,PrepaidRevenue,NoEventsVASPrep,postpaidAddonRevenue,PostpaidDataRevenue,PostpaidMMSRev,PostpaidSMSRev,PostpaidVASRevenue,PostpaidVoiceRevenue,RoamingOutboundRevenue,PostpaidRevenues,NoEventsVASPost,ARPU,ChurnPresure1,ChurnPresure2,Andpresure1,Andpresure2,iospresure1,iospresure2,allpresure1,allpresure2
campaign_3,2,4,6,0,0,6,811,0,43,43,0,43,3276916,8177570863,1975-05-18,German,Military,1,0,0,0,1,0,0.03124,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
campaign_1,24,769,396,395,2,793,105007,0,226,226,0,226,2475632,12003592352,1965-07-03,German,Others,1,0,0,0,1,6.87178,1.19646,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0.26,0,30.04,0,55.3,0,25,0.0471510640604112,0.100982853977173,0,0,0,0,0,0
campaign_5,38,191,132,97,0,229,31968,0,272,272,0,272,1629537,14421268636,1973-10-20,German,Teacher,1,0,0,0,1,1.05958,0.00352,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0
campaign_1,93,320,342,70,1,413,27055,0,151,151,0,151,2318882,10889009966,1972-10-19,German,Office Clerk/Office worker,1,0,0,0,1,0.99609,0.14514,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0.84,0,35.84,0,30,0,0,0,0,0,0,0,0
campaign_1,15,36,37,14,0,51,5999,0,44,44,0,44,5234927,1118675693,1973-10-23,German,Office Clerk/Office worker,1,0,0,0,1,0.21137,0.0022,0,0,0,0,0,0,0,0.784,3,0,0,0,0,30,0,0,0,0,0,0.784,30.784,0,30,0.0266120777891505,0.0474762815685553,0,0,0,0,0,0
campaign_1,10,251,91,155,15,261,49274,0,161,161,0,161,3120263,10096447639,1988-06-04,German,Police Officer,1,0,0,0,1,11.04264,0.5075,0,0,0,0,0,0,0,0.3,64,0,0,0,0,30,0,0,0.025,0,22.475,0.3,52.8,0,25,0,0.0352237557416719,0,0,0,0,0,0
campaign_5,156,379,526,9,0,535,427960,0,71,71,0,71,3848767,12260685663,1978-01-04,German,Security/Guard,1,0,0,0,1,0.09367,0.02288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,0,5,0.00473793307669529,0.0472201926475418,0,0,0.360994028802248,0.430427388431422,0.362750263435195,0.441292566360358
campaign_5,34,451,213,272,0,485,56110,0,106,106,0,106,2246834,9476891448,1991-07-20,German,Others,1,0,0,0,1,0.58122,0.09374,0,0,0,0,0,0,0,0.449,5,0,0,0,0,0,0,0,0,0,2.7,0.449,3.149,0,5,0,0,0,0,0,0,0,0
campaign_3,20,79,46,53,0,99,10783,0,90,90,0,90,2917108,9263849440,1993-01-01,German,Labour worker,1,0,0,0,1,0.59341,0.03896,0,0,0,0,0,0,0,0.315,125,0,0,0,0,0,0,0,0,0,0,0.315,0.315,0,7,0,0,0,0,0,0,0,0
campaign_5,12,72,58,26,0,84,6261,0,116,116,0,116,4445722,5839684432,1984-01-05,German,Office Clerk/Office worker,1,0,0,0,1,0.26417,0.04802,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,6,0,0,24,1,18,0,0,0,0,0,0,0,0
